"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Both sexes","State","1841","Population","Number","6528799"
"Both sexes","State","1841","Population Change since previous Census","Number",""
"Both sexes","State","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","State","1851","Population","Number","5111557"
"Both sexes","State","1851","Population Change since previous Census","Number","-1417242"
"Both sexes","State","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-24.2"
"Both sexes","State","1861","Population","Number","4402111"
"Both sexes","State","1861","Population Change since previous Census","Number","-709446"
"Both sexes","State","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-14.8"
"Both sexes","State","1871","Population","Number","4053187"
"Both sexes","State","1871","Population Change since previous Census","Number","-348924"
"Both sexes","State","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.2"
"Both sexes","State","1881","Population","Number","3870020"
"Both sexes","State","1881","Population Change since previous Census","Number","-183167"
"Both sexes","State","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-4.6"
"Both sexes","State","1891","Population","Number","3468694"
"Both sexes","State","1891","Population Change since previous Census","Number","-401326"
"Both sexes","State","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-10.9"
"Both sexes","State","1901","Population","Number","3221823"
"Both sexes","State","1901","Population Change since previous Census","Number","-246871"
"Both sexes","State","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-7.4"
"Both sexes","State","1911","Population","Number","3139688"
"Both sexes","State","1911","Population Change since previous Census","Number","-82135"
"Both sexes","State","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-2.6"
"Both sexes","State","1926","Population","Number","2971992"
"Both sexes","State","1926","Population Change since previous Census","Number","-167696"
"Both sexes","State","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.7"
"Both sexes","State","1936","Population","Number","2968420"
"Both sexes","State","1936","Population Change since previous Census","Number","-3572"
"Both sexes","State","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-0.1"
"Both sexes","State","1946","Population","Number","2955107"
"Both sexes","State","1946","Population Change since previous Census","Number","-13313"
