"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","All ages","Both sexes","State","2002","Number","3917203"
"2002 Population","All ages","Both sexes","Leinster","2002","Number","2105579"
"2002 Population","All ages","Both sexes","Carlow","2002","Number","46014"
"2002 Population","All ages","Both sexes","Dublin","2002","Number","1122821"
"2002 Population","All ages","Both sexes","Dublin City","2002","Number","495781"
"2002 Population","All ages","Both sexes","Dún Laoghaire-Rathdown","2002","Number","191792"
"2002 Population","All ages","Both sexes","Fingal","2002","Number","196413"
"2002 Population","All ages","Both sexes","South Dublin","2002","Number","238835"
"2002 Population","All ages","Both sexes","Kildare","2002","Number","163944"
"2002 Population","All ages","Both sexes","Kilkenny","2002","Number","80339"
"2002 Population","All ages","Both sexes","Laois","2002","Number","58774"
"2002 Population","All ages","Both sexes","Longford","2002","Number","31068"
"2002 Population","All ages","Both sexes","Louth","2002","Number","101821"
"2002 Population","All ages","Both sexes","Meath","2002","Number","134005"
"2002 Population","All ages","Both sexes","Offaly","2002","Number","63663"
"2002 Population","All ages","Both sexes","Westmeath","2002","Number","71858"
"2002 Population","All ages","Both sexes","Wexford","2002","Number","116596"
"2002 Population","All ages","Both sexes","Wicklow","2002","Number","114676"
"2002 Population","All ages","Both sexes","Munster","2002","Number","1100614"
"2002 Population","All ages","Both sexes","Clare","2002","Number","103277"
"2002 Population","All ages","Both sexes","Cork","2002","Number","447829"
"2002 Population","All ages","Both sexes","Cork City","2002","Number","123062"
"2002 Population","All ages","Both sexes","Cork County","2002","Number","324767"
"2002 Population","All ages","Both sexes","Kerry","2002","Number","132527"
"2002 Population","All ages","Both sexes","Limerick","2002","Number","175304"
"2002 Population","All ages","Both sexes","Limerick City","2002","Number","54023"
"2002 Population","All ages","Both sexes","Limerick County","2002","Number","121281"
"2002 Population","All ages","Both sexes","North Tipperary","2002","Number","61010"
"2002 Population","All ages","Both sexes","South Tipperary","2002","Number","79121"
"2002 Population","All ages","Both sexes","Waterford","2002","Number","101546"
"2002 Population","All ages","Both sexes","Waterford City","2002","Number","44594"
"2002 Population","All ages","Both sexes","Waterford County","2002","Number","56952"
"2002 Population","All ages","Both sexes","Connacht","2002","Number","464296"
"2002 Population","All ages","Both sexes","Galway","2002","Number","209077"
"2002 Population","All ages","Both sexes","Galway City","2002","Number","65832"
"2002 Population","All ages","Both sexes","Galway County","2002","Number","143245"
"2002 Population","All ages","Both sexes","Leitrim","2002","Number","25799"
"2002 Population","All ages","Both sexes","Mayo","2002","Number","117446"
"2002 Population","All ages","Both sexes","Roscommon","2002","Number","53774"
"2002 Population","All ages","Both sexes","Sligo","2002","Number","58200"
"2002 Population","All ages","Both sexes","Ulster (part of)","2002","Number","246714"
"2002 Population","All ages","Both sexes","Cavan","2002","Number","56546"
"2002 Population","All ages","Both sexes","Donegal","2002","Number","137575"
"2002 Population","All ages","Both sexes","Monaghan","2002","Number","52593"
"2002 Population","All ages","Male","State","2002","Number","1946164"
"2002 Population","All ages","Male","Leinster","2002","Number","1038015"
"2002 Population","All ages","Male","Carlow","2002","Number","23403"
"2002 Population","All ages","Male","Dublin","2002","Number","544075"
"2002 Population","All ages","Male","Dublin City","2002","Number","237813"
"2002 Population","All ages","Male","Dún Laoghaire-Rathdown","2002","Number","91337"
"2002 Population","All ages","Male","Fingal","2002","Number","97409"
"2002 Population","All ages","Male","South Dublin","2002","Number","117516"
"2002 Population","All ages","Male","Kildare","2002","Number","82735"
"2002 Population","All ages","Male","Kilkenny","2002","Number","40540"
"2002 Population","All ages","Male","Laois","2002","Number","30131"
"2002 Population","All ages","Male","Longford","2002","Number","15794"
"2002 Population","All ages","Male","Louth","2002","Number","50489"
"2002 Population","All ages","Male","Meath","2002","Number","67733"
"2002 Population","All ages","Male","Offaly","2002","Number","32185"
"2002 Population","All ages","Male","Westmeath","2002","Number","35960"
"2002 Population","All ages","Male","Wexford","2002","Number","58170"
"2002 Population","All ages","Male","Wicklow","2002","Number","56800"
"2002 Population","All ages","Male","Munster","2002","Number","550118"
"2002 Population","All ages","Male","Clare","2002","Number","52063"
"2002 Population","All ages","Male","Cork","2002","Number","222317"
"2002 Population","All ages","Male","Cork City","2002","Number","59263"
"2002 Population","All ages","Male","Cork County","2002","Number","163054"
"2002 Population","All ages","Male","Kerry","2002","Number","66572"
"2002 Population","All ages","Male","Limerick","2002","Number","87631"
"2002 Population","All ages","Male","Limerick City","2002","Number","26128"
"2002 Population","All ages","Male","Limerick County","2002","Number","61503"
