"Statistic Label","CensusYear","General Health","Sex","County and City","Age Group","UNIT","VALUE"
"Population","2011","General health - All","Both sexes","State","All ages","Number","4588252"
"Population","2011","General health - All","Both sexes","State","0 - 4 years","Number","356329"
"Population","2011","General health - All","Both sexes","State","5 - 9 years","Number","320770"
"Population","2011","General health - All","Both sexes","State","10 - 14 years","Number","302491"
"Population","2011","General health - All","Both sexes","State","15 - 19 years","Number","283019"
"Population","2011","General health - All","Both sexes","State","20 - 24 years","Number","297231"
"Population","2011","General health - All","Both sexes","State","25 - 29 years","Number","361122"
"Population","2011","General health - All","Both sexes","State","30 - 34 years","Number","393945"
"Population","2011","General health - All","Both sexes","State","35 - 39 years","Number","364261"
"Population","2011","General health - All","Both sexes","State","40 - 44 years","Number","330812"
"Population","2011","General health - All","Both sexes","State","45 - 49 years","Number","305185"
"Population","2011","General health - All","Both sexes","State","50 - 54 years","Number","274386"
"Population","2011","General health - All","Both sexes","State","55 - 59 years","Number","244522"
"Population","2011","General health - All","Both sexes","State","60 - 64 years","Number","218786"
"Population","2011","General health - All","Both sexes","State","65 - 69 years","Number","173638"
"Population","2011","General health - All","Both sexes","State","70 - 74 years","Number","131190"
"Population","2011","General health - All","Both sexes","State","75 - 79 years","Number","102036"
"Population","2011","General health - All","Both sexes","State","80 - 84 years","Number","70113"
"Population","2011","General health - All","Both sexes","State","85 years and over","Number","58416"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","All ages","Number","519032"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","0 - 4 years","Number","40188"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","5 - 9 years","Number","35536"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","10 - 14 years","Number","33779"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","15 - 19 years","Number","31977"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","20 - 24 years","Number","33525"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","25 - 29 years","Number","39312"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","30 - 34 years","Number","43894"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","35 - 39 years","Number","41040"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","40 - 44 years","Number","37561"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","45 - 49 years","Number","35523"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","50 - 54 years","Number","31396"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","55 - 59 years","Number","27974"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","60 - 64 years","Number","24947"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","65 - 69 years","Number","19998"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","70 - 74 years","Number","15374"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","75 - 79 years","Number","12104"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","80 - 84 years","Number","8235"
"Population","2011","General health - All","Both sexes","Cork City and Cork County","85 years and over","Number","6669"
"Population","2011","General health - All","Both sexes","Clare","All ages","Number","117196"
"Population","2011","General health - All","Both sexes","Clare","0 - 4 years","Number","8905"
"Population","2011","General health - All","Both sexes","Clare","5 - 9 years","Number","8724"
"Population","2011","General health - All","Both sexes","Clare","10 - 14 years","Number","8452"
"Population","2011","General health - All","Both sexes","Clare","15 - 19 years","Number","7308"
"Population","2011","General health - All","Both sexes","Clare","20 - 24 years","Number","6460"
"Population","2011","General health - All","Both sexes","Clare","25 - 29 years","Number","7312"
"Population","2011","General health - All","Both sexes","Clare","30 - 34 years","Number","8699"
"Population","2011","General health - All","Both sexes","Clare","35 - 39 years","Number","9124"
"Population","2011","General health - All","Both sexes","Clare","40 - 44 years","Number","8920"
"Population","2011","General health - All","Both sexes","Clare","45 - 49 years","Number","8193"
"Population","2011","General health - All","Both sexes","Clare","50 - 54 years","Number","7444"
"Population","2011","General health - All","Both sexes","Clare","55 - 59 years","Number","6720"
"Population","2011","General health - All","Both sexes","Clare","60 - 64 years","Number","6416"
"Population","2011","General health - All","Both sexes","Clare","65 - 69 years","Number","4941"
"Population","2011","General health - All","Both sexes","Clare","70 - 74 years","Number","3524"
"Population","2011","General health - All","Both sexes","Clare","75 - 79 years","Number","2623"
"Population","2011","General health - All","Both sexes","Clare","80 - 84 years","Number","1850"
"Population","2011","General health - All","Both sexes","Clare","85 years and over","Number","1581"
"Population","2011","General health - All","Both sexes","Cavan","All ages","Number","73183"
"Population","2011","General health - All","Both sexes","Cavan","0 - 4 years","Number","6177"
"Population","2011","General health - All","Both sexes","Cavan","5 - 9 years","Number","5529"
"Population","2011","General health - All","Both sexes","Cavan","10 - 14 years","Number","5526"
"Population","2011","General health - All","Both sexes","Cavan","15 - 19 years","Number","4583"
"Population","2011","General health - All","Both sexes","Cavan","20 - 24 years","Number","4106"
"Population","2011","General health - All","Both sexes","Cavan","25 - 29 years","Number","5133"
"Population","2011","General health - All","Both sexes","Cavan","30 - 34 years","Number","5727"
"Population","2011","General health - All","Both sexes","Cavan","35 - 39 years","Number","5484"
"Population","2011","General health - All","Both sexes","Cavan","40 - 44 years","Number","5286"
"Population","2011","General health - All","Both sexes","Cavan","45 - 49 years","Number","4864"
"Population","2011","General health - All","Both sexes","Cavan","50 - 54 years","Number","4428"
"Population","2011","General health - All","Both sexes","Cavan","55 - 59 years","Number","3950"
"Population","2011","General health - All","Both sexes","Cavan","60 - 64 years","Number","3524"
"Population","2011","General health - All","Both sexes","Cavan","65 - 69 years","Number","2714"
"Population","2011","General health - All","Both sexes","Cavan","70 - 74 years","Number","1990"
"Population","2011","General health - All","Both sexes","Cavan","75 - 79 years","Number","1775"
"Population","2011","General health - All","Both sexes","Cavan","80 - 84 years","Number","1243"
"Population","2011","General health - All","Both sexes","Cavan","85 years and over","Number","1144"
"Population","2011","General health - All","Both sexes","Carlow","All ages","Number","54612"
"Population","2011","General health - All","Both sexes","Carlow","0 - 4 years","Number","4345"
"Population","2011","General health - All","Both sexes","Carlow","5 - 9 years","Number","4101"
"Population","2011","General health - All","Both sexes","Carlow","10 - 14 years","Number","3703"
"Population","2011","General health - All","Both sexes","Carlow","15 - 19 years","Number","3390"
"Population","2011","General health - All","Both sexes","Carlow","20 - 24 years","Number","3616"
"Population","2011","General health - All","Both sexes","Carlow","25 - 29 years","Number","4099"
"Population","2011","General health - All","Both sexes","Carlow","30 - 34 years","Number","4563"
"Population","2011","General health - All","Both sexes","Carlow","35 - 39 years","Number","4311"
