"Statistic Label","Year","County","UNIT","VALUE"
"Fatal Collisions","2013","All Counties","Number","179"
"Fatal Collisions","2013","Carlow","Number","1"
"Fatal Collisions","2013","Dublin","Number","18"
"Fatal Collisions","2013","Kildare","Number","13"
"Fatal Collisions","2013","Kilkenny","Number","4"
"Fatal Collisions","2013","Laois","Number","2"
"Fatal Collisions","2013","Longford","Number","2"
"Fatal Collisions","2013","Louth","Number","4"
"Fatal Collisions","2013","Meath","Number","9"
"Fatal Collisions","2013","Offaly","Number","4"
"Fatal Collisions","2013","Westmeath","Number","5"
"Fatal Collisions","2013","Wexford","Number","7"
"Fatal Collisions","2013","Wicklow","Number","6"
"Fatal Collisions","2013","Clare","Number","2"
"Fatal Collisions","2013","Cork","Number","18"
"Fatal Collisions","2013","Kerry","Number","13"
"Fatal Collisions","2013","Limerick","Number","5"
"Fatal Collisions","2013","Tipperary","Number","12"
"Fatal Collisions","2013","Waterford","Number","2"
"Fatal Collisions","2013","Galway","Number","13"
"Fatal Collisions","2013","Leitrim","Number","2"
"Fatal Collisions","2013","Mayo","Number","6"
"Fatal Collisions","2013","Roscommon","Number","4"
"Fatal Collisions","2013","Sligo","Number","4"
"Fatal Collisions","2013","Cavan","Number","3"
"Fatal Collisions","2013","Donegal","Number","12"
"Fatal Collisions","2013","Monaghan","Number","8"
"Fatal Collisions","2014","All Counties","Number","179"
"Fatal Collisions","2014","Carlow","Number","5"
"Fatal Collisions","2014","Dublin","Number","29"
"Fatal Collisions","2014","Kildare","Number","3"
"Fatal Collisions","2014","Kilkenny","Number","3"
"Fatal Collisions","2014","Laois","Number","6"
"Fatal Collisions","2014","Longford","Number","4"
"Fatal Collisions","2014","Louth","Number","5"
"Fatal Collisions","2014","Meath","Number","5"
"Fatal Collisions","2014","Offaly","Number","2"
"Fatal Collisions","2014","Westmeath","Number","3"
"Fatal Collisions","2014","Wexford","Number","4"
"Fatal Collisions","2014","Wicklow","Number","7"
"Fatal Collisions","2014","Clare","Number","4"
"Fatal Collisions","2014","Cork","Number","18"
"Fatal Collisions","2014","Kerry","Number","13"
"Fatal Collisions","2014","Limerick","Number","10"
"Fatal Collisions","2014","Tipperary","Number","12"
"Fatal Collisions","2014","Waterford","Number","5"
"Fatal Collisions","2014","Galway","Number","5"
"Fatal Collisions","2014","Leitrim","Number","1"
"Fatal Collisions","2014","Mayo","Number","11"
"Fatal Collisions","2014","Roscommon","Number","6"
"Fatal Collisions","2014","Sligo","Number","1"
"Fatal Collisions","2014","Cavan","Number","1"
"Fatal Collisions","2014","Donegal","Number","9"
"Fatal Collisions","2014","Monaghan","Number","7"
"Fatal Collisions","2015","All Counties","Number","155"
