"Statistic Label","Year","Day of Week","UNIT","VALUE"
"Fatal Collisions","2005","All days","Number","360"
"Fatal Collisions","2005","Sunday","Number","82"
"Fatal Collisions","2005","Monday","Number","42"
"Fatal Collisions","2005","Tuesday","Number","28"
"Fatal Collisions","2005","Wednesday","Number","36"
"Fatal Collisions","2005","Thursday","Number","43"
"Fatal Collisions","2005","Friday","Number","54"
"Fatal Collisions","2005","Saturday","Number","75"
"Fatal Collisions","2006","All days","Number","321"
"Fatal Collisions","2006","Sunday","Number","70"
"Fatal Collisions","2006","Monday","Number","55"
"Fatal Collisions","2006","Tuesday","Number","41"
"Fatal Collisions","2006","Wednesday","Number","30"
"Fatal Collisions","2006","Thursday","Number","35"
"Fatal Collisions","2006","Friday","Number","41"
"Fatal Collisions","2006","Saturday","Number","49"
"Fatal Collisions","2007","All days","Number","309"
"Fatal Collisions","2007","Sunday","Number","66"
"Fatal Collisions","2007","Monday","Number","36"
"Fatal Collisions","2007","Tuesday","Number","34"
"Fatal Collisions","2007","Wednesday","Number","32"
"Fatal Collisions","2007","Thursday","Number","53"
"Fatal Collisions","2007","Friday","Number","34"
"Fatal Collisions","2007","Saturday","Number","54"
"Fatal Collisions","2008","All days","Number","254"
"Fatal Collisions","2008","Sunday","Number","52"
"Fatal Collisions","2008","Monday","Number","34"
"Fatal Collisions","2008","Tuesday","Number","32"
"Fatal Collisions","2008","Wednesday","Number","29"
"Fatal Collisions","2008","Thursday","Number","34"
"Fatal Collisions","2008","Friday","Number","31"
"Fatal Collisions","2008","Saturday","Number","42"
"Fatal Collisions","2009","All days","Number","220"
"Fatal Collisions","2009","Sunday","Number","47"
"Fatal Collisions","2009","Monday","Number","41"
"Fatal Collisions","2009","Tuesday","Number","28"
"Fatal Collisions","2009","Wednesday","Number","25"
"Fatal Collisions","2009","Thursday","Number","16"
"Fatal Collisions","2009","Friday","Number","29"
"Fatal Collisions","2009","Saturday","Number","34"
"Fatal Collisions","2010","All days","Number","185"
"Fatal Collisions","2010","Sunday","Number","42"
"Fatal Collisions","2010","Monday","Number","20"
"Fatal Collisions","2010","Tuesday","Number","21"
"Fatal Collisions","2010","Wednesday","Number","20"
"Fatal Collisions","2010","Thursday","Number","19"
"Fatal Collisions","2010","Friday","Number","26"
"Fatal Collisions","2010","Saturday","Number","37"
"Fatal Collisions","2011","All days","Number","172"
"Fatal Collisions","2011","Sunday","Number","30"
"Fatal Collisions","2011","Monday","Number","29"
"Fatal Collisions","2011","Tuesday","Number","26"
"Fatal Collisions","2011","Wednesday","Number","19"
"Fatal Collisions","2011","Thursday","Number","21"
"Fatal Collisions","2011","Friday","Number","29"
"Fatal Collisions","2011","Saturday","Number","18"
"Fatal Collisions","2012","All days","Number","152"
"Fatal Collisions","2012","Sunday","Number","38"
"Fatal Collisions","2012","Monday","Number","16"
"Fatal Collisions","2012","Tuesday","Number","11"
"Fatal Collisions","2012","Wednesday","Number","20"
"Fatal Collisions","2012","Thursday","Number","19"
"Fatal Collisions","2012","Friday","Number","22"
"Fatal Collisions","2012","Saturday","Number","26"
"Fatal Collisions","2013","All days","Number","179"
"Fatal Collisions","2013","Sunday","Number","32"
"Fatal Collisions","2013","Monday","Number","27"
"Fatal Collisions","2013","Tuesday","Number","19"
"Fatal Collisions","2013","Wednesday","Number","21"
"Fatal Collisions","2013","Thursday","Number","24"
"Fatal Collisions","2013","Friday","Number","32"
"Fatal Collisions","2013","Saturday","Number","24"
"Fatal Collisions","2014","All days","Number","178"
"Fatal Collisions","2014","Sunday","Number","29"
"Fatal Collisions","2014","Monday","Number","26"
"Fatal Collisions","2014","Tuesday","Number","18"
"Fatal Collisions","2014","Wednesday","Number","23"
"Fatal Collisions","2014","Thursday","Number","35"
"Fatal Collisions","2014","Friday","Number","24"
"Fatal Collisions","2014","Saturday","Number","23"
"Fatal Collisions","2015","All days","Number","155"
"Fatal Collisions","2015","Sunday","Number","29"
"Fatal Collisions","2015","Monday","Number","20"
