"Statistic Label","Year","Country of Residence","Type of Vehicle","UNIT","VALUE"
"Fatal Collisions","2005","Ireland","Cars","Number","258"
"Fatal Collisions","2005","Ireland","Goods vehicles","Number","69"
"Fatal Collisions","2005","Northern Ireland","Cars","Number","14"
"Fatal Collisions","2005","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2005","Great Britain","Cars","Number","4"
"Fatal Collisions","2005","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2005","All countries excluding Ireland and United Kingdom","Cars","Number","8"
"Fatal Collisions","2005","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2005","All countries","Cars","Number","284"
"Fatal Collisions","2005","All countries","Goods vehicles","Number","72"
"Fatal Collisions","2006","Ireland","Cars","Number","234"
"Fatal Collisions","2006","Ireland","Goods vehicles","Number","70"
"Fatal Collisions","2006","Northern Ireland","Cars","Number","3"
"Fatal Collisions","2006","Northern Ireland","Goods vehicles","Number","2"
"Fatal Collisions","2006","Great Britain","Cars","Number","1"
"Fatal Collisions","2006","Great Britain","Goods vehicles","Number","0"
"Fatal Collisions","2006","All countries excluding Ireland and United Kingdom","Cars","Number","9"
"Fatal Collisions","2006","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","5"
"Fatal Collisions","2006","All countries","Cars","Number","247"
"Fatal Collisions","2006","All countries","Goods vehicles","Number","77"
"Fatal Collisions","2007","Ireland","Cars","Number","170"
"Fatal Collisions","2007","Ireland","Goods vehicles","Number","77"
"Fatal Collisions","2007","Northern Ireland","Cars","Number","6"
"Fatal Collisions","2007","Northern Ireland","Goods vehicles","Number","1"
"Fatal Collisions","2007","Great Britain","Cars","Number","3"
"Fatal Collisions","2007","Great Britain","Goods vehicles","Number","2"
"Fatal Collisions","2007","All countries excluding Ireland and United Kingdom","Cars","Number","7"
"Fatal Collisions","2007","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","0"
"Fatal Collisions","2007","All countries","Cars","Number","186"
"Fatal Collisions","2007","All countries","Goods vehicles","Number","80"
"Fatal Collisions","2008","Ireland","Cars","Number","156"
"Fatal Collisions","2008","Ireland","Goods vehicles","Number","54"
"Fatal Collisions","2008","Northern Ireland","Cars","Number","1"
"Fatal Collisions","2008","Northern Ireland","Goods vehicles","Number","4"
"Fatal Collisions","2008","Great Britain","Cars","Number","3"
"Fatal Collisions","2008","Great Britain","Goods vehicles","Number","1"
"Fatal Collisions","2008","All countries excluding Ireland and United Kingdom","Cars","Number","10"
"Fatal Collisions","2008","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","2"
"Fatal Collisions","2008","All countries","Cars","Number","170"
"Fatal Collisions","2008","All countries","Goods vehicles","Number","61"
