Year,County,Age Range,Gender,Count,Missing
2023,Cork,Under 18,Male,0,N
2023,Cork,Under 18,Female,0,Y
2023,Cork,Under 18,Non-binary,0,N
2023,Cork,Under 18,In another way,0,N
2023,Cork,Under 18,Unknown,0,N
2023,Cork,18 to 24 years,Male,26,N
2023,Cork,18 to 24 years,Female,9,N
2023,Cork,18 to 24 years,Non-binary,0,N
2023,Cork,18 to 24 years,In another way,0,N
2023,Cork,18 to 24 years,Unknown,0,N
2023,Cork,25 to 34 years,Male,103,N
2023,Cork,25 to 34 years,Female,45,N
2023,Cork,25 to 34 years,Non-binary,0,N
2023,Cork,25 to 34 years,In another way,0,N
2023,Cork,25 to 34 years,Unknown,0,N
2023,Cork,35 to 44 years,Male,146,N
2023,Cork,35 to 44 years,Female,50,N
2023,Cork,35 to 44 years,Non-binary,0,N
2023,Cork,35 to 44 years,In another way,0,N
2023,Cork,35 to 44 years,Unknown,0,N
2023,Cork,45 to 64 years,Male,143,N
2023,Cork,45 to 64 years,Female,112,N
2023,Cork,45 to 64 years,Non-binary,0,N
2023,Cork,45 to 64 years,In another way,0,N
2023,Cork,45 to 64 years,Unknown,0,N
2023,Cork,65 years or over,Male,15,N
2023,Cork,65 years or over,Female,15,N
2023,Cork,65 years or over,Non-binary,0,N
2023,Cork,65 years or over,In another way,0,N
2023,Cork,65 years or over,Unknown,0,N
2023,Cork,Unknown,Male,0,N
2023,Cork,Unknown,Female,0,N
2023,Cork,Unknown,Non-binary,0,N
2023,Cork,Unknown,In another way,0,N
2023,Cork,Unknown,Unknown,0,N
2023,Clare,Under 18,Male,0,Y
2023,Clare,Under 18,Female,0,Y
2023,Clare,Under 18,Non-binary,0,N
2023,Clare,Under 18,In another way,0,N
2023,Clare,Under 18,Unknown,0,N
2023,Clare,18 to 24 years,Male,0,Y
2023,Clare,18 to 24 years,Female,0,Y
2023,Clare,18 to 24 years,Non-binary,0,N
2023,Clare,18 to 24 years,In another way,0,N
2023,Clare,18 to 24 years,Unknown,0,N
2023,Clare,25 to 34 years,Male,16,N
2023,Clare,25 to 34 years,Female,8,N
2023,Clare,25 to 34 years,Non-binary,0,N
2023,Clare,25 to 34 years,In another way,0,N
2023,Clare,25 to 34 years,Unknown,0,N
2023,Clare,35 to 44 years,Male,25,N
2023,Clare,35 to 44 years,Female,9,N
2023,Clare,35 to 44 years,Non-binary,0,N
2023,Clare,35 to 44 years,In another way,0,N
2023,Clare,35 to 44 years,Unknown,0,N
2023,Clare,45 to 64 years,Male,20,N
